"","myAUC","avg_diff","power","avg_log2FC","pct.1","pct.2","cluster","gene"
"RPSA",0.823,0.313559974185733,0.646,0.469824194422882,1,0.996,"7","RPSA"
"HNRNPA13",0.822,0.515184311151398,0.644,0.772793593965873,1,0.992,"7","HNRNPA1"
"RPL72",0.82,0.301165259862011,0.64,0.441252153433469,1,0.999,"7","RPL7"
"RPL10A",0.818,0.279618687924511,0.636,0.414240470451019,1,0.998,"7","RPL10A"
"RPS182",0.816,0.244653355582916,0.632,0.355994364864769,1,1,"7","RPS18"
"RPS14",0.816,0.25443155830699,0.632,0.372620812031689,1,0.999,"7","RPS14"
"RPS61",0.815,0.241694552980213,0.63,0.353094281240028,1,0.999,"7","RPS6"
"RPS7",0.808,0.263378645043066,0.616,0.391062105581653,1,0.998,"7","RPS7"
"RPS82",0.808,0.260348202692477,0.616,0.380675552374941,1,0.999,"7","RPS8"
"RPL151",0.807,0.254336295221069,0.614,0.373861678967514,1,0.999,"7","RPL15"
